chapter,gut_line,text
1,371,The story of our world is a story that is still very imperfectly
1,372,known. A couple of hundred years ago men possessed the history of
1,373,little more than the last three thousand years.  What happened
1,374,before that time was a matter of legend and speculation.  Over a
1,375,large part of the civilized world it was believed and taught that
1,376,"the world had been created suddenly in 4004 B.C., though"
1,377,authorities differed as to whether this had occurred in the spring
1,378,or autumn of that year. This fantastically precise misconception
1,379,"was based upon a too literal interpretation of the Hebrew Bible,"
1,380,and upon rather arbitrary theological assumptions connected
1,381,therewith.  Such ideas have long since been abandoned by religious
1,382,"teachers, and it is universally recognized that the universe in"
1,383,which we live has to all appearances existed for an enormous
1,384,period of time and possibly for endless time.  Of course there may
1,385,"be deception in these appearances, as a room may be made to seem"
1,386,endless by putting mirrors facing each other at either end.  But
1,387,that the universe in which we live has existed only for six or
1,388,seven thousand years may be regarded as an altogether exploded
1,389,idea.
1,391,"The earth, as everybody knows nowadays, is a spheroid, a sphere"
1,392,"slightly compressed, orange fashion, with a diameter of nearly"
1,393,"8,000 miles.  Its spherical shape has been known at least to a"
1,394,"limited number of intelligent people for nearly 2,500 years, but"
1,395,"before that time it was supposed to be flat, and various ideas"
1,396,which now seem fantastic were entertained about its relations to
1,397,the sky and the stars and planets.  We know now that it rotates
1,398,upon its {2} axis (which is about 24 miles shorter than its
1,399,"equatorial diameter) every twenty-four hours, and that this is the"
1,400,"cause of the alternations of day and night, that it circles about"
1,401,the sun in a slightly distorted and slowly variable oval path in a
1,402,year. Its distance from the sun varies between ninety-one and a
1,403,half millions at its nearest and ninety-four and a half million
1,404,miles.
1,408,"About the earth circles a smaller sphere, the moon, at an average"
1,409,"distance of 239,000 miles. Earth and moon are not the only bodies"
1,410,"to travel round the sun.  There are also the planets, Mercury and"
1,411,"Venus, at distances of thirty-six and sixty-seven millions of"
1,412,miles; and beyond the circle of the earth and disregarding a belt
1,413,"of numerous smaller bodies, the planetoids, there are Mars,"
1,414,"Jupiter, Saturn, Uranus and Neptune at mean distances of 141, 483,"
1,415,"886, 1,782, and 1,793 millions of miles respectively.  These"
1,416,figures in {3} millions of miles are very difficult for the mind
1,417,to grasp.  It may help the reader's imagination if we reduce the
1,418,"sun and planets to a smaller, more conceivable scale."
1,422,"If, then, we represent our earth as a little ball of one inch"
1,423,"diameter, the sun would be a big globe nine feet across and 323"
1,424,"yards away, that is about a fifth of a mile, four or five minutes'"
1,425,walking.  The moon would be a small pea two feet and a half from
1,426,the world.  Between earth and sun there would be the two inner
1,427,"planets, Mercury and Venus, at distances of one hundred and"
1,428,twenty-five and two hundred and fifty yards from the sun. All
1,429,round and about these bodies there would be emptiness until you
1,430,"came to Mars, a hundred and seventy-five feet beyond the earth;"
1,431,"Jupiter {4} nearly a mile away, a foot in diameter; Saturn, a"
1,432,"little smaller, two miles off; Uranus four miles off and Neptune"
1,433,six miles off.  Then nothingness and nothingness except for small
1,434,particles and drifting scraps of attenuated vapour for thousands
1,435,"of miles. The nearest star to earth on this scale would be 40,000"
1,436,miles away.
1,438,These figures will serve perhaps to give one some conception of
1,439,the immense emptiness of space in which the drama of life goes on.
1,441,For in all this enormous vacancy of space we know certainly of
1,442,life only upon the surface of our earth. It does not penetrate
1,443,"much more than three miles down into the 4,000 miles that separate"
1,444,"us from the centre of our globe, and it does not reach more than"
1,445,five miles above its surface.  Apparently all the limitlessness of
1,446,space is otherwise empty and dead.
1,448,The deepest ocean dredgings go down to five miles. The highest
1,449,recorded flight of an aeroplane is little more than four miles.
1,450,"Men have reached to seven miles up in balloons, but at a cost of"
1,451,"great suffering.  No bird can fly so high as five miles, and small"
1,452,birds and insects which have been carried up by aeroplanes drop
1,453,off insensible far below that level.
2,465,In the last fifty years there has been much very fine and
2,466,interesting speculation on the part of scientific men upon the age
2,467,and origin of our earth.  Here we cannot pretend to give even a
2,468,summary of such speculations because they involve the most subtle
2,469,mathematical and physical considerations.  The truth is that the
2,470,physical and astronomical sciences are still too undeveloped as
2,471,yet to make anything of the sort more than an illustrative
2,472,guesswork.  The general tendency has been to make the estimated
2,473,age of our globe longer and longer.  It now seems probable that
2,474,the earth has had an independent existence as a spinning planet
2,475,flying round and round the sun for a longer period than
2,476,"2,000,000,000 years.  It may have been much longer than that. This"
2,477,is a length of time that absolutely overpowers the imagination.
2,479,"Before that vast period of separate existence, the sun and earth"
2,480,and the other planets that circulate round the sun may have been a
2,481,great swirl of diffused matter in space.  The telescope reveals to
2,482,us in various parts of the heavens luminous spiral clouds of
2,483,"matter, the spiral nebulae, which appear to be in rotation about a"
2,484,centre.  It is supposed by many astronomers that the sun and its
2,485,"planets were once such a spiral, and that their matter has"
2,486,undergone concentration into its present form. Through majestic
2,487,aeons that concentration went on until in that vast remoteness of
2,488,"the past for which we have given figures, the world and its moon"
2,489,were distinguishable.  They were spinning then much faster than
2,490,they are spinning now; they were at a lesser distance from the
2,491,"sun; they travelled round it very much faster, and they were"
2,492,probably incandescent or molten at the surface.  The sun itself
2,493,was a much greater blaze in the heavens.
2,499,If we could go back through that infinitude of time and see the
2,500,"earth in this earlier stage of its history, we should behold a"
2,501,scene more like the interior of a blast furnace or the surface of
2,502,a lava flow before it cools and cakes over than any other
2,503,contemporary scene.  No water would be visible because all the
2,504,water there was would still be superheated steam in a stormy
2,505,atmosphere of sulphurous and metallic vapours.  Beneath this would
2,506,swirl and boil an ocean of molten rock substance.  Across a sky of
2,507,fiery clouds the glare of the hurrying sun and moon would sweep
2,508,swiftly like hot breaths of flame.
2,518,"Slowly by degrees as one million of years followed another, this"
2,519,{8} fiery scene would lose its eruptive incandescence.  The
2,520,vapours in the sky would rain down and become less dense overhead;
2,521,great slaggy cakes of solidifying rock would appear upon the
2,522,"surface of the molten sea, and sink under it, to be replaced by"
2,523,other floating masses.  The sun and moon growing now each more
2,524,"distant and each smaller, would rush with diminishing swiftness"
2,525,"across the heavens. The moon now, because of its smaller size,"
2,526,"would be already cooled far below incandescence, and would be"
2,527,alternately obstructing and reflecting the sunlight in a series of
2,528,eclipses and full moons.
2,532,"And so with a tremendous slowness through the vastness of time,"
2,533,the earth would grow more and more like the earth on which we
2,534,"live, until at last an age would come when, in the cooling air,"
2,535,"steam would begin to condense into clouds, and the first rain"
2,536,would fall hissing upon the first rocks below.  For endless
2,537,millenia the greater part of the earth's water would still be
2,538,"vaporized in the atmosphere, but there would now be hot streams"
2,539,running over the crystallizing {9} rocks below and pools and lakes
2,540,into which these streams would be carrying detritus and depositing
2,541,sediment.
2,545,At last a condition of things must have been attained in which a
2,546,man might have stood up on earth and looked about him and lived.
2,547,If we could have visited the earth at that time we should have
2,548,stood on great lava-like masses of rock without a trace of soil or
2,549,"touch of living vegetation, under a storm-rent sky.  Hot and"
2,550,"violent winds, exceeding the fiercest tornado that ever blows, and"
2,551,"downpours of rain such as our milder, slower earth to-day knows"
2,552,"nothing of, might have assailed us.  The water of the downpour"
2,553,"would have rushed by us, muddy with the spoils of the rocks,"
2,554,"coming together into torrents, cutting deep gorges and canyons as"
2,555,they hurried past to deposit their sediment in the earliest seas.
2,556,Through the clouds we should have glimpsed a great sun moving
2,557,"visibly across the sky, and in its wake and in the wake of the"
2,558,moon would have come a diurnal tide of earthquake and upheaval.
2,559,"And {10} the moon, which nowadays keeps one constant face to"
2,560,"earth, would then have been rotating visibly and showing the side"
2,561,it now hides so inexorably.
2,563,"The earth aged.  One million years followed another, and the day"
2,564,"lengthened, the sun grew more distant and milder, the moon's pace"
2,565,in the sky slackened; the intensity of rain and storm diminished
2,566,and the water in the first seas increased and ran together into
2,567,the ocean garment our planet henceforth wore.
2,569,But there was no life as yet upon the earth; the seas were
2,570,"lifeless, and the rocks were barren."
3,582,"As everybody knows nowadays, the knowledge we possess of life"
3,583,before the beginnings of human memory and tradition is derived
3,584,from the markings and fossils of living things in the stratified
3,585,"rocks. We find preserved in shale and slate, limestone, and"
3,586,"sandstone, bones, shells, fibres, stems, fruits, footmarks,"
3,587,"scratchings and the like, side by side with the ripple marks of"
3,588,the earliest tides and the pittings of the earliest rain-falls. It
3,589,is by the sedulous examination of this Record of the Rocks that
3,590,the past history of the earth's life has been pieced together.
3,591,That much nearly everybody knows to-day.  The sedimentary rocks do
3,592,"not lie neatly stratum above stratum; they have been crumpled,"
3,593,"bent, thrust about, distorted and mixed together like the leaves"
3,594,"of a library that has been repeatedly looted and burnt, and it is"
3,595,only as a result of many devoted lifetimes of work that the record
3,596,has been put into order and read.  The whole compass of time
3,597,represented by the record of the rocks is now estimated as
3,598,"1,600,000,000 years."
3,600,The earliest rocks in the record are called by geologists the
3,601,"Azoic rocks, because they show no traces of life.  Great areas of"
3,602,"these Azoic rocks lie uncovered in North America, and they are of"
3,603,such a thickness that geologists consider that they represent a
3,604,"period of at least half of the 1,600,000,000 which they assign to"
3,605,the whole geological record.  Let me repeat this profoundly
3,606,significant fact.  Half the great interval of time since land and
3,607,sea were first distinguishable on earth has left us no traces of
3,608,life.  There are ripplings and rain marks still to be found in
3,609,"these rocks, but no marks nor vestiges of any living thing."
3,619,"Then, as we come up the record, signs of past life appear and"
3,620,increase.  The age of the world's history in which we find these
3,621,past {13} traces is called by geologists the Lower Palaeozoic age.
3,622,The first indications that life was astir are vestiges of
3,623,comparatively simple and lowly things: the shells of small
3,624,"shellfish, the stems and flowerlike heads of zoophytes, seaweeds"
3,625,and the tracks and remains of sea worms and crustacea.  Very early
3,626,"appear certain creatures rather like plant-lice, crawling"
3,627,creatures which could roll themselves up into balls as the
3,628,"plant-lice do, the trilobites.  Later by a few million years or so"
3,629,"come certain sea scorpions, more mobile and powerful creatures"
3,630,than the world had ever seen before.
3,634,None of these creatures were of very great size.  Among the
3,635,"largest were certain of the sea scorpions, which measured nine"
3,636,feet in length.  There are no signs whatever of land life of any
3,637,"sort, plant or animal; there are no fishes nor any vertebrated"
3,638,creatures in this part of the record.  Essentially all the plants
3,639,and creatures which have left us their traces from this period of
3,640,the earth's history are shallow-water and intertidal beings.  If
3,641,we wished to parallel the flora and fauna of the Lower Palaeozoic
3,642,"rocks on the earth to-day, we should do it best, except in the"
3,643,"matter of size, by taking a drop of water from a rock pool or"
3,644,scummy ditch and examining it under a microscope.  The little
3,645,"crustacea, the small shellfish, the zoophytes and algae we should"
3,646,find there would display a quite striking resemblance to these
3,647,"clumsier, larger prototypes that once were the crown of life upon"
3,648,our planet.
3,653,"It is well, however, to bear in mind that the Lower Palaeozoic"
3,654,rocks probably do not give us anything at all representative of
3,655,the first beginnings of life on our planet. Unless a creature has
3,656,"bones {14} or other hard parts, unless it wears a shell or is big"
3,657,enough and heavy enough to make characteristic footprints and
3,658,"trails in mud, it is unlikely to leave any fossilized traces of"
3,659,its existence behind.  To-day there are hundreds of thousands of
3,660,species of small soft-bodied creatures in our world which it is
3,661,inconceivable can ever leave any mark for future geologists to
3,662,"discover.  In the world's past, millions of millions of species of"
3,663,such creatures may have lived and multiplied and flourished and
3,664,passed away without a trace remaining.  The waters of the warm and
3,665,shallow lakes and seas of the so-called Azoic period may have
3,666,"teemed with an infinite variety {15} of lowly, jelly-like,"
3,667,"shell-less and boneless creatures, and a multitude of green scummy"
3,668,plants may have spread over the sunlit intertidal rocks and
3,669,beaches.  The Record of the Rocks is no more a complete record of
3,670,life in the past than the books of a bank are a record of the
3,671,existence of everybody in the neighbourhood.  It is only when a
3,672,species begins to secrete a shell or a spicule or a carapace or a
3,673,"lime-supported stem, and so put by something for the future, that"
3,674,it goes upon the Record.  But in rocks of an age prior to those
3,675,"which bear any fossil traces, graphite, a form of uncombined"
3,676,"carbon, is sometimes found, and some authorities consider that it"
3,677,may have been separated out from combination through the vital
3,678,activities of unknown living things.
4,693,In the days when the world was supposed to have endured for only a
4,694,"few thousand years, it was supposed that the different species of"
4,695,plants and animals were fixed and final; they had all been created
4,696,"exactly as they are to-day, each species by itself.  But as men"
4,697,began to discover and study the Record of the Rocks this belief
4,698,gave place to the suspicion that many species had changed and
4,699,"developed slowly through the course of ages, and this again"
4,700,"expanded into a belief in what is called Organic Evolution, a"
4,701,"belief that all species of life upon earth, animal and vegetable"
4,702,"alike, are descended by slow continuous processes of change from"
4,703,"some very simple ancestral form of life, some almost structureless"
4,704,"living substance, far back in the so-called Azoic seas."
4,706,"This question of Organic Evolution, like the question of the age"
4,707,"of the earth, has in the past been the subject of much bitter"
4,708,controversy.  There was a time when a belief in organic evolution
4,709,was for rather obscure reasons supposed to be incompatible with
4,710,"sound Christian, Jewish and Moslem doctrine.  That time has"
4,711,"passed, and the men of the most orthodox Catholic, Protestant,"
4,712,Jewish and Mohammedan belief are now free to accept this newer and
4,713,broader view of a common origin of all living things.  No life
4,714,seems to have happened suddenly upon earth.  Life grew and grows.
4,715,"Age by age through gulfs of time at which imagination reels, life"
4,716,has been growing from a mere stirring in the intertidal slime
4,717,"towards freedom, power and consciousness."
4,719,Life consists of individuals. These individuals are definite
4,720,"things, they are not like the lumps and masses, nor even the"
4,721,"limitless and motionless crystals, of non-living matter, and they"
4,722,have two characteristics no dead matter possesses.  They can
4,723,assimilate other matter into themselves and make it part of
4,724,"themselves, and {17} they can reproduce themselves.  They eat and"
4,725,"they breed.  They can give rise to other individuals, for the most"
4,726,"part like themselves, but always also a little different from"
4,727,themselves.  There is a specific and family resemblance between an
4,728,"individual and its offspring, and there is an individual"
4,729,"difference between every parent and every offspring it produces,"
4,730,and this is true in every species and at every stage of life.
4,735,Now scientific men are not able to explain to us either why
4,736,offspring should resemble nor why they should differ from their
4,737,parents.  But seeing that offspring do at once resemble and
4,738,"differ, it is a matter rather of common sense than of scientific"
4,739,"knowledge that, if the conditions under which a species live are"
4,740,"changed, the species should undergo some correlated changes."
4,741,Because in any generation of the species there must be a number of
4,742,individuals whose individual differences make them better adapted
4,743,"to the new conditions under which the species has to live, and a"
4,744,number whose individuals whose individual differences make it
4,745,rather harder for them to live.  And on the whole the former sort
4,746,"will live longer, bear more offspring, and reproduce themselves"
4,747,"more abundantly than the latter, and so generation by generation"
4,748,the average of the species will change in the favourable
4,749,"direction.  This process, which is called Natural Selection, is"
4,750,not so much a scientific theory as a necessary deduction {18} from
4,751,the facts of reproduction and individual difference.  There may be
4,752,"many forces at work varying, destroying and preserving species,"
4,753,"about which science may still be unaware or undecided, but the man"
4,754,who can deny the operation of this process of natural selection
4,755,upon life since its beginning must be either ignorant of the
4,756,elementary facts of life or incapable of ordinary thought.
4,758,Many scientific men have speculated about the first beginning of
4,759,"life and their speculations are often of great interest, but there"
4,760,is absolutely no definite knowledge and no convincing guess yet of
4,761,the way in which life began.  But nearly all authorities are
4,762,agreed that it probably began upon mud or sand in warm sunlit
4,763,"shallow brackish water, and that it spread up the beaches to the"
4,764,intertidal lines and out to the open waters.
4,768,That early world was a world of strong tides and currents.  An
4,769,incessant destruction of individuals must have been going on
4,770,"through their being swept up the beaches and dried, or by their"
4,771,being swept out to sea and sinking down out of reach of air and
4,772,sun.  Early conditions favoured the development of every tendency
4,773,"to root and hold on, every tendency to form an outer skin and"
4,774,casing to protect the stranded individual from immediate
4,775,desiccation.  From the very earliest any tendency to sensitiveness
4,776,"to taste would turn the individual in the direction of food, and"
4,777,any sensitiveness to light would assist it to struggle back out of
4,778,the darkness of the sea deeps and caverns or to wriggle back out
4,779,of the excessive glare of the dangerous shallows.
4,781,Probably the first shells and body armour of living things were
4,782,protections against drying rather than against active enemies.
4,783,But tooth and claw come early into our earthly history.
4,785,We have already noted the size of the earlier water scorpions.
4,786,For long ages such creatures were the supreme lords of life. Then
4,787,{19} in a division of these Palaeozoic rocks called the Silurian
4,788,"division, which many geologists now suppose to be as old as five"
4,789,"hundred million years, there appears a new type of being, equipped"
4,790,with eyes and teeth and swimming powers of an altogether more
4,791,"powerful kind.  These were the first known backboned animals, the"
4,792,"earliest fishes, the first known Vertebrata."
4,796,"These fishes increase greatly in the next division of rocks, the"
4,797,rocks known as the Devonian system.  They are so prevalent that
4,798,this period of the Record of the Rocks has been called the Age of
4,799,"{20} Fishes.  Fishes of a pattern now gone from the earth, and"
4,800,"fishes allied to the sharks and sturgeons of to-day, rushed"
4,801,"through the waters, leapt in the air, browsed among the seaweeds,"
4,802,"pursued and preyed upon one another, and gave a new liveliness to"
4,803,the waters of the world.  None of these were excessively big by
4,804,our present standards.  Few of them were more than two or three
4,805,"feet long, but there were exceptional forms which were as long as"
4,806,twenty feet.
4,808,We know nothing from geology of the ancestors of these fishes.
4,809,They do not appear to be related to any of the forms that preceded
4,810,them.  Zoologists have the most interesting views of their
4,811,"ancestry, but these they derive from the study of the development"
4,812,"of the eggs of their still living relations, and from other"
4,813,sources.  Apparently the ancestors of the vertebrata were
4,814,soft-bodied and perhaps quite small swimming creatures who began first
4,815,to develop hard parts as teeth round and about their mouths.  The
4,816,teeth of a skate or dogfish cover the roof and floor of its mouth
4,817,and pass at the lip into the flattened toothlike scales that
4,818,encase most of its body.  As the fishes develop these teeth scales
4,819,"in the geological record, they swim out of the hidden darkness of"
4,820,"the past into the light, the first vertebrated animals visible in"
4,821,the record.
5,833,The land during this Age of Fishes was apparently quite lifeless.
5,834,Crags and uplands of barren rock lay under the sun and rain.
5,835,There was no real soil--for as yet there were no earthworms which
5,836,"help to make a soil, and no plants to break up the rock particles"
5,837,into mould; there was no trace of moss or lichen.  Life was still
5,838,only in the sea.
5,840,Over this world of barren rock played great changes of climate.
5,841,The causes of these changes of climate were very complex and they
5,842,have still to be properly estimated.  The changing shape of the
5,843,"earth's orbit, the gradual shifting of the poles of rotation,"
5,844,"changes in the shapes of the continents, probably even"
5,845,"fluctuations in the warmth of the sun, now conspired to plunge"
5,846,great areas of the earth's surface into long periods of cold and
5,847,ice and now again for millions of years spread a warm or equable
5,848,climate over this planet.  There seem to have been phases of great
5,849,"internal activity in the world's history, when in the course of a"
5,850,few million years accumulated upthrusts would break out in lines
5,851,of volcanic eruption and upheaval and rearrange the mountain and
5,852,"continental outlines of the globe, increasing the depth of the sea"
5,853,and the height of the mountains and exaggerating the extremes of
5,854,climate.  And these would be followed by vast ages of comparative
5,855,"quiescence, when frost, rain and river would wear down the"
5,856,mountain heights and carry great masses of silt to fill and raise
5,857,"the sea bottoms and spread the seas, ever shallower and wider,"
5,858,"over more and more of the land.  There have been ""high and deep"""
5,859,"ages in the world's history and ""low and level"" ages.  The reader"
5,860,must dismiss from his mind any idea that the surface of the earth
5,861,has been growing steadily cooler since its crust grew solid.
5,862,"After that much cooling had been achieved, the internal"
5,863,temperature ceased to affect surface {22} conditions. There are
5,864,"traces of periods of superabundant ice and snow, of ""Glacial"
5,865,"Ages,"" that is, even in the Azoic period."
5,867,"It was only towards the close of the Age of Fishes, in a period of"
5,868,"extensive shallow seas and lagoons, that life spread itself out in"
5,869,any effectual way from the waters on to the land.  No doubt the
5,870,earlier types of the forms that now begin to appear in great
5,871,abundance had already been developing in a rare and obscure manner
5,872,for many scores of millions of years.  But now came their
5,873,opportunity.
5,877,Plants no doubt preceded animal forms in this invasion of the
5,878,"land, but the animals probably followed up the plant emigration"
5,879,{23} very closely.  The first problem that the plant had to solve
5,880,was the problem of some sustaining stiff support to hold up its
5,881,fronds to the sunlight when the buoyant water was withdrawn; the
5,882,second was the problem of getting water from the swampy ground
5,883,"below to the tissues of the plant, now that it was no longer close"
5,884,at hand.  The two problems were solved by the development of woody
5,885,tissue which both sustained the plant and acted as water carrier
5,886,to the leaves.  The Record of the Rocks is suddenly crowded by a
5,887,"vast variety of woody swamp plants, many of them of great size,"
5,888,"big tree mosses, tree ferns, gigantic horsetails and the like."
5,889,"And with these, age by age, there crawled out of the water a great"
5,890,variety of animal forms.  There were centipedes and millipedes;
5,891,there were the first primitive insects; there were creatures
5,892,related to the ancient king crabs and sea scorpions which became
5,893,"the earliest spiders and land scorpions, and presently there were"
5,894,vertebrated animals.
5,898,Some of the earlier insects were very large. There were dragon
5,899,flies in this period with wings that spread out to twenty-nine
5,900,inches.
5,902,In various ways these new orders and genera had adapted themselves
5,903,to breathing air.  Hitherto all animals had breathed air dissolved
5,904,"in water, and that indeed is what all animals still have to do."
5,905,But now in divers fashions the animal kingdom was acquiring the
5,906,power of supplying its own moisture where it was needed.  A man
5,907,with a perfectly dry lung would suffocate to-day; {24} his lung
5,908,surfaces must be moist in order that air may pass through them
5,909,into his blood.  The adaptation to air breathing consists in all
5,910,cases either in the development of a cover to the old-fashioned
5,911,"gills to stop evaporation, or in the development of tubes or other"
5,912,new breathing organs lying deep inside the body and moistened by a
5,913,watery secretion.  The old gills with which the ancestral fish of
5,914,the vertebrated line had breathed were inadaptable to breathing
5,915,"upon land, and in the case of this division of the animal kingdom"
5,916,"it is the swimming bladder of the fish which becomes a new,"
5,917,"deep-seated breathing organ, the lung.  The kind of animals"
5,918,"known as amphibia, the frogs and newts of to-day, begin"
5,919,their lives in the water and breathe by gills; and subsequently
5,920,"the lung, developing in the same way as the swimming"
5,921,"bladder of many fishes do, as a baglike outgrowth from the throat,"
5,922,"takes over the business of breathing, the animal comes out on"
5,923,"land, and the gills dwindle and the gill slits disappear.  (All"
5,924,"except an outgrowth of one gill slit, which becomes the passage of"
5,925,"the ear and ear-drum.)  The animal can now live only in the air,"
5,926,but it must return at least to the edge of the water to lay its
5,927,eggs and reproduce its kind.
5,931,All the air-breathing vertebrata of this age of swamps and plants
5,932,belonged to the class amphibia.  They were nearly all of them
5,933,"forms related to the newts of to-day, and some of them attained a"
5,934,"considerable size.  They were land animals, it is true, but they"
5,935,were land animals needing to live in and near moist and swampy
5,936,"places, and all the great trees of this period were equally {25}"
5,937,amphibious in their habits.  None of them had yet developed fruits
5,938,and seeds of a kind that could fall on land and develop with the
5,939,help only of such moisture as dew and rain could bring.  They all
5,940,"had to shed their spores in water, it would seem, if they were to"
5,941,germinate.
5,943,It is one of the most beautiful interests of that beautiful
5,944,"science, comparative anatomy, to trace the complex and wonderful"
5,945,adaptations of living things to the necessities of existence in
5,946,"air.  All living things, plants and animals alike, are primarily"
5,947,water things.  For example all the higher vertebrated animals
5,948,"above the fishes, up to and including man, pass through a stage in"
5,949,their development in the egg or before birth in which they have
5,950,gill slits which are obliterated before the young emerge.  The
5,951,"bare, water-washed eye of the fish is protected in the higher"
5,952,forms from drying up by eyelids and glands which secrete moisture.
5,953,The weaker sound vibrations of air necessitate an ear-drum.  In
5,954,nearly every organ of the body similar modifications and
5,955,"adaptations are to be detected, similar patchings-up to meet"
5,956,aerial conditions.
5,958,"This Carboniferous age, this age of the amphibia, was an age of"
5,959,life in the swamps and lagoons and on the low banks among these
5,960,waters.  Thus far life had now extended.  The hills and high lands
5,961,were still quite barren and lifeless.  Life had learnt to breathe
5,962,"air indeed, but it still had its roots in its native water; it"
5,963,still had to return to the water to reproduce its kind.
6,975,The abundant life of the Carboniferous period was succeeded by a
6,976,vast cycle of dry and bitter ages.  They are represented in the
6,977,"Record of the Rocks by thick deposits of sandstones and the like,"
6,978,in which fossils are comparatively few.  The temperature of the
6,979,"world fluctuated widely, and there were long periods of glacial"
6,980,cold.  Over great areas the former profusion of swamp vegetation
6,981,"ceased, and, overlaid by these newer deposits, it began that"
6,982,process of compression and mineralization that gave the world most
6,983,of the coal deposits of to-day.
6,985,But it is during periods of change that life undergoes its most
6,986,"rapid modifications, and under hardship that it learns its hardest"
6,987,lessons.  As conditions revert towards warmth and moisture again
6,988,"we find a new series of animal and plant forms established,  We"
6,989,find in the record the remains of vertebrated animals that laid
6,990,"eggs which, instead of hatching out tadpoles which needed to live"
6,991,"for a time in water, carried on their development before hatching"
6,992,to a stage so nearly like the adult form that the young could live
6,993,in air from the first moment of independent existence.  Gills had
6,994,"been cut out altogether, and the gill slits only appeared as an"
6,995,embryonic phase.
6,997,These new creatures without a tadpole stage were the Reptiles.
6,998,"Concurrently there had been a development of seed-bearing trees,"
6,999,"which could spread their seed, independently of swamp or lakes."
6,1000,"There were now palmlike cycads and many tropical conifers, though"
6,1001,as yet there were no flowering plants and no grasses.  There was a
6,1002,great number of ferns.  And there was now also an increased
6,1003,"variety of insects.  There were beetles, though bees and"
6,1004,butterflies had yet to come.  But all the fundamental forms of a
6,1005,new real land fauna and flora had been laid down during these vast
6,1006,ages of severity.  {27} This new land life needed only the
6,1007,opportunity of favourable conditions to flourish and prevail.
6,1011,Age by age and with abundant fluctuations that mitigation came.
6,1012,"The still incalculable movements of the earth's crust, the changes"
6,1013,"in its orbit, the increase and diminution of the mutual"
6,1014,"inclination of orbit and pole, worked together to produce a great"
6,1015,spell of widely diffused warm conditions.  The period lasted
6,1016,"altogether, it is now supposed, upwards of two hundred million"
6,1017,"years.  It is called the Mesozoic period, to distinguish it from"
6,1018,the altogether vaster Palaeozoic and Azoic periods (together
6,1019,"fourteen hundred millions) that preceded it, and from the"
6,1020,Cainozoic or new life period that intervened between its close and
6,1021,"the present time, and it is also called the Age of Reptiles"
6,1022,because of the astonishing predominance and variety of this form
6,1023,of life.  It came to an end some eighty million  years ago.
6,1025,In the world to-day the genera of Reptiles are comparatively few
6,1026,"and their distribution is very limited.  They are more various, it"
6,1027,"is true, than are the few surviving members of the order of the"
6,1028,amphibia which once in the Carboniferous period ruled the world.
6,1029,"We still have the snakes, the turtles and tortoises (the"
6,1030,"Chelonia), {28} the alligators and crocodiles, and the lizards."
6,1031,Without exception they are creatures requiring warmth all the year
6,1032,"round; they cannot stand exposure to cold, and it is probable that"
6,1033,all the reptilian beings of the Mesozoic suffered under the same
6,1034,"limitation.  It was a hothouse fauna, living amidst a hothouse"
6,1035,flora.  It endured no frosts.  But the world had at least attained
6,1036,a real dry land fauna and flora as distinguished from the mud and
6,1037,swamp fauna and flora of the previous heyday of life upon earth.
6,1041,All the sorts of reptile we know now were much more abundantly
6,1042,"represented then, great turtles and tortoises, big crocodiles and"
6,1043,"many lizards and snakes, but in addition there was a number of"
6,1044,series of wonderful creatures that have now vanished altogether
6,1045,from the earth.  There was a vast variety of beings called the
6,1046,Dinosaurs.  Vegetation was now spreading over the lower levels of
6,1047,"the world, reeds, brakes of fern and the like; and browsing upon"
6,1048,"this abundance came a multitude of herbivorous reptiles, which"
6,1049,increased in size as the Mesozoic period rose to its climax.  Some
6,1050,of these beasts exceeded in size any other land animals that have
6,1051,ever lived; they were as large as whales.  The _Diplodocus
6,1052,Carnegii_ for example measured eighty-four feet from snout to
6,1053,tail; the Gigantosaurus was even greater; it measured a hundred
6,1054,feet.  Living upon these monsters was a swarm of carnivorous
6,1055,"Dinosaurs of a corresponding size.  One of these, the"
6,1056,"Tyrannosaurus, is figured and described in many books as the last"
6,1057,word in reptilian frightfulness.
6,1064,While these great creatures pastured and pursued amidst the fronds
6,1065,"and evergreens of the Mesozoic jungles, another now vanished tribe"
6,1066,"of reptiles, with a bat-like development of the fore limbs,"
6,1067,"pursued insects and one another, first leapt and parachuted and"
6,1068,presently flew amidst the fronds and branches of the forest trees.
6,1069,These were the Pterodactyls. These were the first flying creatures
6,1070,with backbones; they mark a new achievement in the growing powers
6,1071,of vertebrated life.
