"Collins_HG1" "Collins_HG2" "Collins_HG3" "Galbraith_Cuckoo" "Riordan_PJ1" "Riordan_PJ2" "Riordan_PJ3" "Riordan_PJ4" "Riordan_PJ5" "Rowling_HP1" "Rowling_HP2" "Rowling_HP3" "Rowling_HP4" "Rowling_HP5" "Rowling_HP6" "Rowling_HP7" "Rowling_Leopard"
"the" 5.47561601891418 5.379553559115 5.51456533374111 4.7793423430714 5.29006725534154 5.30958439355386 4.94775660725261 4.85087709377156 4.83025887459309 4.51708544591581 4.63019250253293 4.56818790747522 4.711346712104 4.39779941387658 4.31974255092952 5.14856255161836 5.65646081992735
"to" 2.66368225729872 2.80059893216699 2.86623595076076 2.44665641606647 2.26128928947248 2.16850438224484 2.1819299323909 2.08783378762003 2.12783547770372 2.3108641759994 2.29652144545762 2.34527105474681 2.42382935756658 2.38271910297634 2.45553544234692 2.43196208754474 2.07576543850545
"and" 2.34779996705522 2.47158027464192 2.02423732701277 2.3374065981495 1.99592807796129 2.15436810856658 2.20865289543305 2.11497788886753 2.06169586110681 2.39059210444359 2.45187436676798 2.40421541484326 2.50107282594977 2.34149558908401 2.33370686435077 2.72594092893381 2.85417747794499
"i" 4.40394174587948 3.69407175364974 3.42629405917884 1.44250222545925 3.41881319485748 3.3644331354255 3.47532134363058 3.71308684981395 3.69038391980571 1.15231771579485 1.1516379601486 1.19853532196124 1.06424334216837 1.15388362976787 1.53952245496078 1.17984819286585 0.155682407887909
"a" 2.08714862940031 2.02730657840298 2.12745622754033 2.1681368185374 2.3482179622089 2.11761379700311 2.70570000801689 2.25409140776095 2.16917273807678 2.0978411171876 2.03647416413374 1.92283647405555 1.82355168496782 1.8306987760364 1.89696290549665 1.78747001219176 2.59470679813181
"of" 1.87591445985097 1.97903737415529 2.07966969951831 2.131045830973 1.65278858031752 1.64263500141363 1.6167392640496 1.57888188922945 1.64315609982948 1.56964359124488 1.84397163120567 1.85406805394302 1.98207749589802 2.00533657125297 1.95500387897595 2.06375113068785 2.17955371043072
"he" 0.973808900904043 0.938786768327521 0.908899762978821 1.8943378921529 0.99281694651599 1.12948826689285 0.880521632238583 1.24523564472895 1.2649201674159 2.19127228333313 1.72126533828661 1.87192998124498 2.00933989650385 1.89215928765768 2.04350199695429 2.0760412160302 2.33523611831863
"was" 0.310068505760491 0.374332604369841 0.383247954736601 1.63200345283375 1.54870293269891 1.39666383941193 1.61005852328906 1.46804347580216 1.49227509946778 1.47745817398129 1.42519419115164 1.50218808609449 1.38331440111069 1.35363029253704 1.36712352383415 1.367640696897 1.81629475869227
"it" 1.40596688080773 1.15649073034261 1.40874684608915 1.14105365379947 0.983666559912156 1.11111111111111 1.1664573367895 1.2588076953527 1.10473828347026 1.47621242509935 1.35764944275583 1.27980709118514 1.19702133030418 1.18873623696775 1.245294945838 1.49103315373422 0.622729631551635
"you" 0.803271222735773 0.622574226215103 0.940438871473354 1.34539127619972 1.30736148602278 1.25671472999717 1.23593704069907 1.61394302000746 1.49537539399576 1.25945211964172 1.23719464144996 1.25033491113691 1.13997223274012 1.34613510819299 1.46424158836882 1.23294136154481 0.467047223663726
